,name,price,qty,category
11260,삼립_딸기패스츄리15입,7900,100,snack
11261,삼립_땅콩소보루스틱5입,3000,100,snack
11262,오리온_하양송이,1000,100,snack
11263,오리온_초코파이쇼콜라,6000,100,snack
11264,농심_후르츠텔라딸기,800,100,snack
11265,농심_후르트텔라오렌지,800,100,snack
11266,마즈_트윅스탑10입,4500,100,snack
11267,대두_우유앙빵3입,1500,100,snack
11268,대두_말랑말랑우유찰떡,1500,100,snack
11269,참조은_깔라만시컵케익,3000,100,snack
11270,조이_쫀득한두꺼비마카롱,3300,100,snack
11271,삼립_래핑카우치즈케익,2000,100,snack
11272,삼립_래핑카우씨앗호떡,1800,100,snack
11273,삼립_래핑카우치즈샌드,1800,100,snack
11274,새롬_큐브브레드슈크림,2400,100,snack
11275,새롬_큐브브레드초코,2400,100,snack
11276,HEYROO메론우유맛스낵,1200,100,snack
11277,HEYROO바나나우유맛스낵,1200,100,snack
11278,마즈_이클립스소프트레몬,1500,100,snack
11279,마즈_이클립스소프트민트,1500,100,snack
11280,마즈_스니커즈크리스퍼,1200,100,snack
11281,뚜또_파인애플250g,2400,100,snack
11282,롯데_맛있소순우유케이크,3500,100,snack
11283,대두_리얼생초코찰떡2입,1500,100,snack
11284,티디_생미쉘초코칩마들렝,2900,100,snack
11285,티디_생미쉘마들렝,2900,100,snack
11286,예스_맥비티투고다크초코,1000,100,snack
11287,SCD_수수깡젤리버블껌140g,5000,100,snack
11288,예스_트롤리젖소모양젤리,2000,100,snack
11289,롯데_쇼콜라카스테라,3500,100,snack
11290,삼립_구운찰떡초코,1500,100,snack
11291,삼립_구운찰떡플레인,1500,100,snack
11292,삼립_허쉬구운도넛10입,9900,100,snack
11293,푸드_샹달프그레인브레드,3200,100,snack
11294,푸드_샹달프허브브레드,3200,100,snack
11295,미성_허쉬쿠앤크프레첼,6500,100,snack
11296,미성_허쉬밀크초코프레첼,6500,100,snack
11297,농심_감튀레드칠리맛,1500,100,snack
11298,오리온_마이구미잼,1500,100,snack
11299,몽뜨_아폴로,700,100,snack
11300,삼립_제주녹차롤케익,4500,100,snack
11301,피오레_딸기티라미수,4000,100,snack
11302,피오레_호두파이,3200,100,snack
11303,대두_딸기찰떡,1500,100,snack
11304,미성_허쉬미스터굿바,1500,100,snack
11305,트레마리아_초코칩웨하스,1400,100,snack
11306,대두_모나카상점흑임자,1200,100,snack
11307,대두_모나카상점통팥,1200,100,snack
11308,삼립_임자있는찰떡쿠키,1200,100,snack
11309,삼립_쑥쓰러운찰떡쿠키,1200,100,snack
11310,참조은_쫀득롤케익딸기,3300,100,snack
11311,씨믹스_핑크퐁상어가족,2000,100,snack
11312,미성_LOL에그빈,2000,100,snack
11313,네슬레_킷캣팝스,1500,100,snack
11314,롯데_퀘이커오트바카카오,1200,100,snack
11315,롯데_몬스터칙촉쿠앤크,1200,100,snack
11316,롯데_베이크드케틀콘칩70g,2000,100,snack
11317,롯데_도리토스비츠머쉬룸,1000,100,snack
11318,대두_양갱상점스위트,2300,100,snack
11319,대두_양갱상점클래식,2300,100,snack
11320,피오레_딸기초코케익,3500,100,snack
11321,피오레_생크림딸기잼케익,3800,100,snack
11322,삼립_스트로베리치즈케익,4800,100,snack
11323,매일_킨더부에노,1500,100,snack
11324,오리온_원조고소미1979,1200,100,snack
11325,크라운_신짱씨앗호떡맛,1500,100,snack
11326,삼립_허쉬초코포켓샌드2입,1800,100,snack
11327,삼립_체리초코케익,5500,100,snack
11328,조이_푸딩카스테라딸기,2900,100,snack
11329,조이_푸딩카스테라바닐라,2600,100,snack
11330,서영_밀카레오,1300,100,snack
11331,코코_LED불빛반지캔디,1500,100,snack
11332,롯데_빅롤리팝버블껌,300,100,snack
11333,크라운_속깊은맘쿠키,2000,100,snack
11334,미성_허쉬초콜릿모찌쿠키,5500,100,snack
11335,롯데_까망칸쵸바닐라맛,1000,100,snack
11336,제이_초코츄러스맛팝콘,1500,100,snack
11337,해태_맛동산블랙아몬드90g,2000,100,snack
11338,피오레_빵빵초코크림빵,2500,100,snack
11339,조이_쫀득한초콜릿마카롱,3300,100,snack
11340,농심_츄파춥스피즈캔디,300,100,snack
11341,롯데_가나랑드샤쿠키,3000,100,snack
11342,오리온_마켓오빵둥이96g,1200,100,snack
11343,롯데_크런키팝콘55g,1500,100,snack
11344,롯데_에어베이크드4번들,3200,100,snack
11345,푸드_히말라야체다치즈,2000,100,snack
11346,푸드_히말라야사워어니언,2000,100,snack
11347,푸드_히말라야오리지널,2000,100,snack
11348,삼립미각_인절미크로와상,2200,100,snack
11349,삼립미각_흑임자파운드,2800,100,snack
11350,롯데_가나티라미수,3000,100,snack
11351,조이_크리스마스마카롱,3300,100,snack
11352,신세계_레드벨벳케이크,3200,100,snack
11353,푸드_고스트칠리페퍼칩,1800,100,snack
11354,서영_밀카칩스아호이,2900,100,snack
11355,유라가_고구마찰떡꼬치,2800,100,snack
11356,신세계_우유케이크,3200,100,snack
11357,롯데_크런키카카오스낵볼,1500,100,snack
11358,신세계_리코타치즈케이크,3200,100,snack
11359,미성_허쉬민트크림샌드,2000,100,snack
11360,농심_옥수수깡70g,1500,100,snack
11361,서주_삼육두유웨하스63g,1800,100,snack
11362,삼립_오븐생크림도넛10입,6000,100,snack
11363,ABC초코쿠키쿠앤크,1000,100,snack
11364,크라운_빅카초,1200,100,snack
11365,농심_리세스투컵스,1200,100,snack
11366,네슬레_킷캣청키팝콘,1200,100,snack
11367,롯데_더블크런치쿠앤크,1000,100,snack
11368,삼립_바로그대로호떡,1800,100,snack
11369,삼립_미니보름달2입,2000,100,snack
11370,삼립_스노우찰떡2입,2500,100,snack
11371,참조은_쫀득롤케익순우유,3000,100,snack
11372,일신_하리보해피콜라사워,1800,100,snack
11373,롯데_왓따가나풍선껌,500,100,snack
11374,매크로_자케미니브라우니,800,100,snack
11375,켈로그_한입그래놀라치즈,2500,100,snack
11376,켈로그_한입그래놀라갈릭,2500,100,snack
11377,삼립_숯불갈비왕호빵,1700,100,snack
11378,삼립_동글동글빵카롱,3500,100,snack
11379,삼립_20피자호빵_1입_,1300,100,snack
11380,삼립_20야채호빵_1입_,1300,100,snack
11381,롯데_인절미빼빼로1500,1500,100,snack
11382,미성_허쉬쿠키초코칩베리,1500,100,snack
11383,농심_밀크초코바나나킥,2000,100,snack
11384,매일_요미미니팝트리치즈,3900,100,snack
11385,매일_요미쌀떡뻥사과당근,3900,100,snack
11386,참조은_쫀득롤케익두유,3300,100,snack
11387,빙_야미얼스유기농롤리팝,3600,100,snack
11388,삼립_20통단팥호빵_1입_,1100,100,snack
11389,피오레_빵빵딸기크림빵,2500,100,snack
11390,피오레_빵빵우유크림빵,2500,100,snack
11391,동아_박카스사워젤리,1200,100,snack
11392,대두_이밤의끝을잡고만쥬,900,100,snack
